job_name,task_name,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type
pai-pod-001161,tensorflow,Terminated,1100802.0,1109538.0,600.0,29.296875,10.0,MISC
pai-pod-001162,tensorflow,Terminated,1100816.0,1109350.0,600.0,29.296875,10.0,MISC
pai-pod-001163,tensorflow,Terminated,1100821.0,1103759.0,600.0,29.296875,100.0,T4
pai-pod-001164,tensorflow,Terminated,1100823.0,1105071.0,600.0,29.296875,10.0,MISC
pai-pod-001165,tensorflow,Terminated,1100832.0,1107649.0,600.0,29.296875,10.0,MISC
pai-pod-001166,tensorflow,Terminated,1100836.0,1106420.0,600.0,29.296875,200.0,T4
pai-pod-001167,tensorflow,Terminated,1100838.0,1104472.0,600.0,29.296875,200.0,T4
pai-pod-001168,PyTorchWorker,Terminated,1100840.0,1103363.0,1000.0,9.765625,100.0,MISC
pai-pod-001169,tensorflow,Terminated,1100840.0,1104382.0,600.0,29.296875,200.0,T4
pai-pod-001170,tensorflow,Terminated,1100844.0,1105628.0,600.0,29.296875,10.0,MISC
pai-pod-001171,xComputeWorker,Terminated,1100844.0,1100980.0,200.0,62.51953125,,
pai-pod-001172,tensorflow,Terminated,1100844.0,1107945.0,600.0,29.296875,200.0,T4
pai-pod-001173,tensorflow,Terminated,1100847.0,1108116.0,600.0,29.296875,200.0,T4
pai-pod-001174,tensorflow,Terminated,1100848.0,1110154.0,600.0,29.296875,200.0,T4
pai-pod-001175,tensorflow,Terminated,1100849.0,1106789.0,600.0,29.296875,10.0,MISC
pai-pod-001176,tensorflow,Terminated,1100849.0,1111789.0,600.0,29.296875,200.0,T4
pai-pod-001177,tensorflow,Terminated,1100849.0,1111497.0,600.0,29.296875,200.0,T4
pai-pod-001178,tensorflow,Terminated,1100849.0,1114038.0,600.0,29.296875,200.0,T4
pai-pod-001179,tensorflow,Terminated,1100852.0,1102208.0,600.0,29.296875,100.0,MISC
pai-pod-001180,tensorflow,Terminated,1100855.0,1115060.0,600.0,29.296875,200.0,T4
pai-pod-001181,tensorflow,Terminated,1100860.0,1106453.0,600.0,29.296875,10.0,MISC
pai-pod-001182,tensorflow,Terminated,1100873.0,1109140.0,600.0,29.296875,10.0,MISC
pai-pod-001183,tensorflow,Terminated,1100877.0,1111284.0,600.0,29.296875,25.0,MISC
pai-pod-001184,tensorflow,Terminated,1100877.0,1111019.0,600.0,29.296875,25.0,MISC
pai-pod-001185,tensorflow,Terminated,1100877.0,1109726.0,600.0,29.296875,25.0,MISC
pai-pod-001186,tensorflow,Terminated,1100877.0,1109687.0,600.0,29.296875,25.0,MISC
pai-pod-001187,tensorflow,Terminated,1100877.0,1111505.0,600.0,29.296875,25.0,MISC
pai-pod-001188,tensorflow,Terminated,1100877.0,1111667.0,600.0,29.296875,25.0,MISC
pai-pod-001189,tensorflow,Terminated,1100878.0,1110548.0,600.0,29.296875,25.0,MISC
pai-pod-001190,tensorflow,Terminated,1100878.0,1110958.0,600.0,29.296875,25.0,MISC
pai-pod-001191,tensorflow,Terminated,1100878.0,1113675.0,600.0,29.296875,25.0,MISC
pai-pod-001192,tensorflow,Terminated,1100878.0,1110779.0,600.0,29.296875,25.0,MISC
pai-pod-001193,tensorflow,Terminated,1100882.0,1109167.0,600.0,29.296875,10.0,MISC
pai-pod-001194,tensorflow,Terminated,1100893.0,1106651.0,600.0,29.296875,10.0,MISC
pai-pod-001195,tensorflow,Terminated,1100899.0,1109181.0,600.0,29.296875,10.0,MISC
pai-pod-001196,tensorflow,Terminated,1100904.0,1100975.0,600.0,29.296875,100.0,MISC
pai-pod-001197,tensorflow,Terminated,1100908.0,1105115.0,600.0,29.296875,10.0,MISC
pai-pod-001198,tensorflow,Terminated,1100918.0,1105846.0,600.0,29.296875,10.0,MISC
pai-pod-001199,tensorflow,Terminated,1100927.0,1111667.0,600.0,29.296875,10.0,MISC
pai-pod-001200,tensorflow,Terminated,1100934.0,1101082.0,600.0,29.296875,100.0,MISC
pai-pod-001201,tensorflow,Terminated,1100934.0,1111644.0,600.0,29.296875,10.0,MISC
pai-pod-001202,tensorflow,Terminated,1100942.0,1101270.0,600.0,29.296875,100.0,MISC
pai-pod-001203,tensorflow,Terminated,1100944.0,1107391.0,600.0,29.296875,10.0,MISC
pai-pod-001204,tensorflow,Terminated,1100962.0,1108098.0,600.0,29.296875,10.0,MISC
pai-pod-001205,tensorflow,Terminated,1100971.0,1108472.0,600.0,29.296875,10.0,MISC
pai-pod-001206,tensorflow,Terminated,1100976.0,1107136.0,600.0,29.296875,100.0,MISC
pai-pod-001207,xComputeWorker,Terminated,1100981.0,1100993.0,200.0,0.99609375,,
pai-pod-001208,tensorflow,Terminated,1100994.0,1107692.0,600.0,29.296875,10.0,MISC
pai-pod-001209,PyTorchWorker,Terminated,1101004.0,1101211.0,1800.0,58.59375,100.0,MISC
pai-pod-001210,tensorflow,Terminated,1101004.0,1108504.0,600.0,29.296875,10.0,MISC
pai-pod-001211,evaluator,Terminated,1101010.0,1101515.0,600.0,29.296875,25.0,T4
pai-pod-001212,evaluator,Terminated,1101010.0,1101485.0,600.0,29.296875,25.0,T4
pai-pod-001213,tensorflow,Terminated,1101012.0,1103855.0,600.0,29.296875,10.0,MISC
pai-pod-001214,evaluator,Terminated,1101012.0,1101526.0,600.0,29.296875,25.0,T4
pai-pod-001215,tensorflow,Terminated,1101028.0,1104734.0,600.0,29.296875,10.0,MISC
pai-pod-001216,evaluator,Terminated,1101034.0,1101318.0,600.0,29.296875,25.0,T4
pai-pod-001217,evaluator,Terminated,1101035.0,1101289.0,600.0,29.296875,25.0,T4
pai-pod-001218,evaluator,Terminated,1101035.0,1101329.0,600.0,29.296875,25.0,T4
pai-pod-001219,evaluator,Terminated,1101035.0,1101289.0,600.0,29.296875,25.0,T4
pai-pod-001220,xComputeWorker,Terminated,1101035.0,1101043.0,200.0,0.99609375,,
pai-pod-001221,evaluator,Terminated,1101036.0,1101310.0,600.0,29.296875,25.0,T4
pai-pod-001222,evaluator,Terminated,1101036.0,1101280.0,600.0,29.296875,25.0,T4
pai-pod-001223,evaluator,Terminated,1101036.0,1101310.0,600.0,29.296875,25.0,T4
pai-pod-001224,evaluator,Terminated,1101037.0,1101271.0,600.0,29.296875,25.0,T4
pai-pod-001225,evaluator,Terminated,1101037.0,1101302.0,600.0,29.296875,25.0,T4
pai-pod-001226,tensorflow,Terminated,1101038.0,1106825.0,600.0,29.296875,10.0,MISC
pai-pod-001227,tensorflow,Terminated,1101045.0,1104165.0,600.0,29.296875,10.0,MISC
pai-pod-001228,evaluator,Terminated,1101050.0,1102023.0,1000.0,29.296875,,
pai-pod-001229,tensorflow,Terminated,1101051.0,1105848.0,600.0,29.296875,100.0,T4
pai-pod-001230,tensorflow,Terminated,1101063.0,1107086.0,600.0,29.296875,10.0,MISC
pai-pod-001231,tensorflow,Terminated,1101074.0,1106132.0,600.0,29.296875,10.0,MISC
pai-pod-001232,xComputeWorker,Terminated,1101076.0,1101088.0,200.0,0.99609375,,
pai-pod-001233,tensorflow,Terminated,1101088.0,1105099.0,600.0,29.296875,10.0,MISC
pai-pod-001234,tensorflow,Terminated,1101102.0,1108652.0,600.0,29.296875,10.0,MISC
pai-pod-001235,tensorflow,Terminated,1101108.0,1101166.0,600.0,29.296875,25.0,MISC
pai-pod-001236,tensorflow,Terminated,1101127.0,1108064.0,600.0,29.296875,10.0,MISC
pai-pod-001237,tensorflow,Terminated,1101147.0,1103931.0,600.0,29.296875,10.0,MISC
pai-pod-001238,xComputeWorker,Terminated,1101161.0,1101169.0,200.0,0.99609375,,
pai-pod-001239,tensorflow,Terminated,1101163.0,1103532.0,600.0,29.296875,10.0,MISC
pai-pod-001240,tensorflow,Terminated,1101183.0,1106893.0,600.0,29.296875,10.0,MISC
pai-pod-001241,tensorflow,Terminated,1101198.0,1105706.0,600.0,29.296875,10.0,MISC
pai-pod-001242,xComputeWorker,Terminated,1101198.0,1101210.0,200.0,0.99609375,,
pai-pod-001243,tensorflow,Terminated,1101218.0,1103973.0,600.0,29.296875,10.0,MISC
pai-pod-001244,tensorflow,Terminated,1101228.0,1109043.0,600.0,29.296875,10.0,MISC
pai-pod-001245,tensorflow,Terminated,1101237.0,1108895.0,600.0,29.296875,10.0,MISC
pai-pod-001246,PyTorchWorker,Terminated,1101237.0,1101400.0,1600.0,31.25,100.0,T4
pai-pod-001247,tensorflow,Terminated,1101239.0,1101676.0,600.0,29.296875,100.0,T4
pai-pod-001248,tensorflow,Terminated,1101241.0,1107203.0,600.0,29.296875,100.0,T4
pai-pod-001249,tensorflow,Terminated,1101252.0,1104414.0,600.0,29.296875,10.0,MISC
pai-pod-001250,tensorflow,Terminated,1101262.0,1108952.0,600.0,29.296875,10.0,MISC
pai-pod-001251,tensorflow,Terminated,1101278.0,1111955.0,600.0,29.296875,10.0,MISC
pai-pod-001252,tensorflow,Terminated,1101284.0,1101455.0,600.0,29.296875,100.0,MISC
pai-pod-001253,tensorflow,Terminated,1101290.0,1109608.0,600.0,29.296875,10.0,MISC
pai-pod-001254,tensorflow,Terminated,1101294.0,1101328.0,600.0,29.296875,100.0,MISC
pai-pod-001255,tensorflow,Terminated,1101299.0,1108911.0,600.0,29.296875,10.0,MISC
pai-pod-001256,tensorflow,Terminated,1101311.0,1108876.0,600.0,29.296875,10.0,MISC
pai-pod-001257,PyTorchWorker,Terminated,1101319.0,1101376.0,800.0,15.625,100.0,T4
pai-pod-001258,PyTorchWorker,Terminated,1101319.0,1101450.0,800.0,15.625,100.0,T4
pai-pod-001259,tensorflow,Terminated,1101321.0,1214027.0,600.0,29.296875,100.0,MISC
pai-pod-001260,PyTorchWorker,Terminated,1101329.0,1101404.0,800.0,15.625,100.0,T4
pai-pod-001261,tensorflow,Terminated,1101329.0,1102478.0,600.0,29.296875,50.0,MISC
pai-pod-001262,tensorflow,Terminated,1101332.0,1104276.0,600.0,29.296875,10.0,MISC
pai-pod-001263,PyTorchWorker,Terminated,1101339.0,1101367.0,800.0,15.625,100.0,T4
pai-pod-001264,tensorflow,Terminated,1101341.0,1105513.0,600.0,29.296875,10.0,MISC
pai-pod-001265,PyTorchWorker,Terminated,1101347.0,1106194.0,1600.0,9.765625,400.0,V100
pai-pod-001266,tensorflow,Terminated,1101350.0,1114774.0,600.0,29.296875,50.0,MISC
pai-pod-001267,tensorflow,Terminated,1101351.0,1104086.0,600.0,29.296875,10.0,MISC
pai-pod-001268,tensorflow,Terminated,1101355.0,1102225.0,600.0,29.296875,100.0,MISC
pai-pod-001269,tensorflow,Terminated,1101360.0,1106812.0,600.0,29.296875,10.0,MISC
pai-pod-001270,tensorflow,Terminated,1101361.0,1104366.0,600.0,29.296875,100.0,T4
pai-pod-001271,tensorflow,Terminated,1101369.0,1109049.0,600.0,29.296875,10.0,MISC
pai-pod-001272,evaluator,Terminated,1101380.0,1101845.0,600.0,29.296875,25.0,T4
pai-pod-001273,evaluator,Terminated,1101381.0,1101846.0,600.0,29.296875,25.0,T4
